ชื่อสถานี,ที่ตั้ง,เวลา,ฝนล่าสุด (มม.),lat,long
บ้านควน,ต.พะโต๊ะ อ.พะโต๊ะ จ.ชุมพร,00:00 น.,27.5,9.78706623642024,98.78801107406616
อบต.ดอนยาง,ต.ดอนยาง อ.เมืองเพชรบุรี จ.เพชรบุรี,00:00 น.,0.4,13.01462964583763,99.97036099433899
เขื่อนน้ำพุง บ้านคำเพิ่ม ,ต.หลุบเลา อ.ภูพาน จ.สกลนคร,13:00 น.,14,16.97248961167977,103.98337483406067
อบต.หนองไผ่,ต.หนองไผ่ อ.หนองไผ่ จ.เพชรบูรณ์,00:00 น.,0.6,15.98167996109794,101.07371985912323
ทต.ราไวย์,ต.ราไวย์ อ.เมืองภูเก็ต จ.ภูเก็ต,00:00 น.,9.8,7.770802038287509,98.31874787807465
ลำน้ำยัง,ต.แวง อ.โพนทอง จ.ร้อยเอ็ด,00:00 น.,0.2,16.32054101661247,104.02246534824371
ทต.หนองบอน,ต.หนองบอน อ.บ่อไร่ จ.ตราด,00:00 น.,1.8,12.677049749346349,102.4595582485199
ศาลากลางหมู่บ้านในล๊อค,ต.ทองมงคล อ.บางสะพาน จ.ประจวบคีรีขันธ์,00:00 น.,12.2,11.181038447200688,99.35544312000275
บ้านหินลูกช้าง,ต.ทุ่งคาวัด อ.ละแม จ.ชุมพร,00:00 น.,63,9.778898731629297,98.95900189876556
บ้านโตนปาหนัน,ต.ทุ่งนุ้ย อ.ควนกาหลง จ.สตูล,14:00 น.,1.5,6.856985588604464,100.14900147914886
บ้านคลองมะนาว,ต.ท่าเกวียน อ.วัฒนานคร จ.สระแก้ว,00:00 น.,17.5,13.635336433923845,102.28066563606262
ทต.บางระกำเมืองใหม่,ต.บางระกำ อ.บางระกำ จ.พิษณุโลก,13:00 น.,13.4,16.748942893638333,100.0902771949768
บ้านโก๊ะไม้หลู่,ต.ป่าแป๋ อ.แม่สะเรียง จ.แม่ฮ่องสอน,20:00 น.,0.5,18.28337231579222,98.08400094509125
บ้านใหม่พัฒนา,ต.แม่อูคอ อ.ขุนยวม จ.แม่ฮ่องสอน,15:00 น.,13,18.842953664097216,97.99700081348419
สะพานมิตรภาพรับร่อ-หินแก้ว,ต.รับร่อ อ.ท่าแซะ จ.ชุมพร,00:00 น.,4.8,10.607479100186094,99.09539222717285
ปากช่อง สกษ.,ต.หนองน้ำแดง อ.ปากช่อง จ.นครราชสีมา,16:00 น.,0.5,14.64389100388953,101.33194148540497
อบต.ท่าข้าม,ต.ท่าข้าม อ.ท่าแซะ จ.ชุมพร,00:00 น.,4.2,10.620317970548133,99.12824392318726
อบต.วังน้ำเขียว,ต.วังน้ำเขียว อ.วังน้ำเขียว จ.นครราชสีมา,23:00 น.,0.2,14.374445554998045,101.86512172222137
บ้านตะบกเตี้ย,ต.ฉมัน อ.มะขาม จ.จันทบุรี,00:00 น.,30.5,12.822393592911787,102.23400056362152
สระแก้ว,ต.สระขวัญ อ.เมืองสระแก้ว จ.สระแก้ว,22:00 น.,19.4,13.788888811055795,102.03472316265106
หน่วยศึกษาการพัฒนาการอนุรักษ์ต้นน้ำแม่สูง,ต.นาพูน อ.วังชิ้น จ.แพร่,00:00 น.,18.4,17.80432616510933,99.82809126377106
อบต.หนองไร่,ต.หนองไร่ อ.ปลวกแดง จ.ระยอง,00:00 น.,2.8,13.001912953999406,101.356440782547
บ้านนากล่ำ,ต.น้ำไคร้ อ.น้ำปาด จ.อุตรดิตถ์,15:00 น.,12,17.584753226862645,100.49200236797333
