ชื่อสถานี,ที่ตั้ง,เวลา,ฝนล่าสุด (มม.)
สถานีชุมชนบ้านแม่ละอุป,ต.แม่แดด อ.แม่แจ่ม จ.เชียงใหม่ ,06:00 ,24.6
สถานีบ้านดอยล้าน,ต.วาวี อ.แม่สรวย จ.เชียงราย ,06:00 ,24.5
สถานีบ้านคลองสน,ต.เกาะช้าง อ.เกาะช้าง จ.ตราด ,05:00 ,24.5
สถานีตราด,ต.คลองใหญ่ อ.คลองใหญ่ จ.ตราด ,04:00 ,24.3
สถานีบ้านทุ่งขาม,ต.ใหม่พัฒนา อ.เกาะคา จ.ลำปาง ,05:00 ,24
สถานีบ้านปางป่าคา,ต.แม่แรม อ.แม่ริม จ.เชียงใหม่ ,06:00 ,24
สถานีลำพะเนียง อ.เมือง,ต.หนองบัว อ.เมืองหนองบัวลำภู จ.หนองบัวลำภู ,05:00 ,24
สถานีบ้านท่าเดื่อ,ต.นิคมกระเสียว อ.ด่านช้าง จ.สุพรรณบุรี ,05:00 ,23.5
สถานีบ้านแพมบก,ต.ทุ่งยาว อ.ปาย จ.แม่ฮ่องสอน ,06:00 ,23.5
สถานีเมืองจันทบุรี,ต.จันทนิมิต อ.เมืองจันทบุรี จ.จันทบุรี ,06:00 ,23.2
สถานีทต.ปัถวี,ต.ปัถวี อ.มะขาม จ.จันทบุรี ,06:00 ,23.2
สถานีบ้านปางไม้แดง,ต.บ้านช้าง อ.แม่แตง จ.เชียงใหม่ ,06:00 ,23
สถานีบ้านห้วยติ้ว,ต.ลาดค่าง อ.ภูเรือ จ.เลย ,06:00 ,23
สถานีห้วยยัง,ต.ไค้นุ่น อ.ห้วยผึ้ง จ.กาฬสินธุ์ ,06:00 ,22.8
สถานีบ้านเมืองนะ,ต.แม่นะ อ.เชียงดาว จ.เชียงใหม่ ,06:00 ,22.5
สถานีปราจีนบุรี,ต.หน้าเมือง อ.เมืองปราจีนบุรี จ.ปราจีนบุรี ,04:00 ,22.5
สถานีบ้านทาทุ่งไผ่*,ต.ทาปลาดุก อ.แม่ทา จ.ลำพูน ,05:00 ,22.5
สถานีบ้านสวนป่าทุ่งเกวียน,ต.เวียงตาล อ.ห้างฉัตร จ.ลำปาง ,06:00 ,22.5
สถานีบ้านดุง,ต.นาคำ อ.บ้านดุง จ.อุดรธานี ,06:00 ,22.2
สถานีดอยมูเซอร์ สกษ.,ต.แม่ท้อ อ.เมืองตาก จ.ตาก ,04:00 ,22.1
สถานีบ้านเมืองน้อย,ต.เวียงเหนือ อ.ปาย จ.แม่ฮ่องสอน ,06:00 ,22
สถานีบ้านซับแม็ก,ต.หนองน้ำใส อ.วัฒนานคร จ.สระแก้ว ,06:00 ,22
สถานีบ้านมาบป่าแฝก,ต.ตลุกกลางทุ่ง อ.เมืองตาก จ.ตาก ,06:00 ,22
สถานีอบต.คำตากล้า,ต.คำตากล้า อ.คำตากล้า จ.สกลนคร ,06:00 ,21.6
