,ID,WMO_CODE,NAME_EN,Region,Latitude,Longitude,00Z,01Z,02Z,03Z,04Z,05Z,06Z,07Z,08Z,10Z,11Z,12Z,13Z,14Z,15Z,16Z,17Z,18Z,19Z,20Z,21Z,22Z,SUM,year,month,day
49,50,409,Si Saket (1),Northeastern,15.00000028,104.0500003,0.0,0.0,0.35,1.25,0.25,0.0,0.0,0.0,0.0,14.5,1.04,3.12,1.45,0.45,0.55,0.0,0.0,0.1,0.0,0.0,0.0,0.0,23.06,2020,06,02
50,51,416,Tha Tum (2),Northeastern,15.31666694,103.68333359999998,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.65,0.45,0.45,0.55,0.25,0.45,0.1,0.0,0.0,0.0,0.0,0.0,0.0,3.15,2020,06,02
51,52,432,Surin,Northeastern,14.88333361,103.5000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.45,0.45,0.1,0.0,0.1,0.25,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8,2020,06,02
52,53,433,Surin (1),Northeastern,14.88333361,103.4500003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.75,0.25,0.25,0.0,0.1,0.1,0.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.1,2020,06,02
53,54,431,Nakhon Ratchasima,Northeastern,14.96830556,102.0860278,0.0,0.0,0.0,0.0,0.0,0.1,4.37,3.12,0.0,0.1,0.0,0.0,1.45,0.95,5.75,0.45,0.1,0.0,0.0,0.0,0.0,0.0,16.390000000000004,2020,06,02
54,55,435,Pakchong (1),Northeastern,14.64388889,101.3319444,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95,2020,06,02
55,56,434,Chok Chai (2),Northeastern,14.71888889,102.1686111,0.0,0.0,0.0,0.0,0.1,4.12,9.25,0.0,0.35,0.0,0.0,0.0,0.0,0.55,1.85,0.55,0.0,0.45,0.0,0.0,0.0,0.0,17.220000000000002,2020,06,02
56,57,437,Buri Ram,Northeastern,15.22575,103.2480833,0.0,0.0,0.0,19.5,10.5,0.75,0.0,0.0,0.0,0.25,0.45,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.75,2020,06,02
57,58,436,Nang Rong (2),Northeastern,14.58333361,102.8000003,0.75,0.1,0.0,0.1,1.35,0.95,1.35,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.45,0.35,0.1,0.45,0.1,0.1,0.0,0.0,6.449999999999999,2020,06,02
58,59,400,Nakhon Sawan,Central,15.67183333,100.1323611,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.37,0.0,0.35,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.919999999999999,2020,06,02
59,60,401,Takfa (1),Central,15.34944444,100.5302778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95,2.12,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.82,2020,06,02
60,61,402,Chai Nat,Central,15.15000278,100.18333359999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.75,0.1,0.25,0.0,0.0,0.45,0.1,0.0,0.0,0.0,0.0,0.0,0.0,6.65,2020,06,02
61,62,410,U Thai Thani,Central,15.37416667,100.0388889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.37,0.0,0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.92,2020,06,02
62,63,415,Ayuthaya (1),Central,14.53472222,100.725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.35,0.45,1.75,1.04,0.65,1.55,1.25,0.0,0.0,0.0,0.0,7.29,2020,06,02
63,64,418,Bua Chum (2),Central,15.10000028,101.6166669,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.25,0.0,0.65,6.25,2.37,1.55,0.95,0.1,0.0,0.0,0.0,0.0,0.0,12.22,2020,06,02
