,ID,WMO_CODE,NAME_EN,Region,Latitude,Longitude,00Z,01Z,02Z,03Z,04Z,05Z,06Z,08Z,09Z,11Z,12Z,13Z,14Z,15Z,17Z,18Z,19Z,20Z,21Z,22Z,23Z,SUM,year,month,day
37,38,355,Sakon Nakhon (1),Northeastern,17.12502778,104.061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.37,0.0,0.0,0.0,0.25,0.0,0.35,0.0,1.04,4.12,2.87,2.12,0.85,13.97000002384186,2020,05,29
38,39,360,Nong Bua Lumphu,Northeastern,17.2325,102.4294444,0.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,2020,05,29
39,40,383,Mukdahan,Northeastern,16.54955556,104.7308889,2.62,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.0,0.0,0.0,0.0,0.0,0.0,4.32,2020,05,29
40,41,381,Khon Kaen,Northeastern,16.46111111,102.7897222,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,10.5,2.87,1.04,0.25,0.25,1.15,0.0,0.0,16.31,2020,05,29
41,42,384,Tha Pra (1),Northeastern,16.333,102.8166667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.12,1.65,0.35,0.0,0.65,0.1,0.0,5.869999999999999,2020,05,29
42,43,382,Kosum Phisai (2),Northeastern,16.24722222,103.0680556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.12,0.45,0.45,0.0,0.25,0.0,0.0,3.2700000000000005,2020,05,29
43,44,390,Kamalasai (2),Northeastern,16.3325,103.5883333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.25,0.0,0.0,0.0,30.5,0.0,0.0,0.0,0.0,0.0,35.75,2020,05,29
44,45,405,Roi Et,Northeastern,16.05000028,103.68333359999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.5,3.37,0.45,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.67,2020,05,29
45,46,404,Roi Et (1),Northeastern,16.07322222,103.6084444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.5,2.12,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.87,2020,05,29
46,47,403,Chaiyaphum,Northeastern,15.80000028,102.0333336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.5,1.35,0.85,0.85,0.0,0.0,0.0,0.0,0.0,0.0,20.55,2020,05,29
